URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle
# 'Unique' character help images,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-PkWfJCP/0/3c6089e9/M/050319_715-M.jpg,,,100%,image-web,,<i>Bombus californicus</i> on golden paintbrush. Bumblebees are the key pollinators of this endangered species.,,Unique,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-pKFZKV8/0/7541ea1f/M/unique features coelioxys-M.jpg,,,100%,image-web,3,,,Unique,Coelioxys,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-GDFQ9Ds/0/b57e6cc9/L/coelioxys spines-L.jpg,,,100%,image-web,3,,,Unique,Coelioxys,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-tHqJtST/0/d504daba/O/unique features sphecodes.jpg,,,100%,image-web,2,There is at least one <i>Lasioglossum</i> that share this coloration - other characters will differentiate it.,,Unique,Sphecodes,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-ztGw3F2/0/044b0b88/M/unique features hylaeus-M.jpg,,,100%,image-web,5,,,Unique,Hylaeus,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-wLNqGwQ/0/da8e39b6/L/bombus.amazon-L.jpg,,,100%,image-web,1,,,Unique,Bombus,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-dVCNC3z/0/f1d5f890/M/Eucera.4-22-21.Finley-M.jpg,,,200%,image-web,5,<i>Eucera and Melissodes</i> are long-horned bees. The antennal feature is for males only.,,Unique,long antennae,,
# 'Sex' character help images,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-rJ2S7FS/0/f2f18159/L/sex antenna-L.jpg,,,100%,image-web,,,,Sex,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-B6dPPq2/0/8910c888/L/Megachile.brevis.lateral.IAE103511-L.jpg,,,100%,image-web,1,Female <i>Megachile brevis</i> - showing (abdominal) scopae and stinger,,Sex,female,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-Nf7fZZB/0/9f514ead/L/Megachile.6-3-2021.megachile-L.jpg,,,100%,image-web,2,Male <i>Megachile</i> with abundant hair on face and forelegs; all males lack scopae,,Sex,male,,
#,,,,,,,,,,,
# 'Body size' character help images,,,,,,,,,,,
resources/images/Eucera and Lasio size.jpg,,,100%,image-local,,"Eucera, Hylaeus",,BodySize,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-Jsr3psC/0/3237f9da/L/size small-L.jpg,,,,,,,,BodySize,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-mNnndHr/0/e0668ef8/L/size large-L.jpg,,,,,,,,BodySize,,,
# 'Hairiness' character help images,,,100%,,,,,,,,
resources/images/062019_2804.jpg,,,100%,image-local,,,,BodyHair,,,
resources/images/hairless.jpg,,,100%,image-local,,,,BodyHair,little,,
resources/images/typical.jpg,,,100%,image-local,,,,BodyHair,moderate,,
resources/images/hairy.jpg,,,100%,image-local,,,,BodyHair,very,,
# 'Body color' character help images,,,100%,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-3bFNC3J/0/c56ab347/L/osmia.6-8-2021.jefferson-L.jpg,,,100%,image-web,,,,BodyColor,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-sJ38Svt/0/8cefdbf4/L/brown or black body-L.jpg,,,100%,image-web,,,,BodyColor,brown or black,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-vcZSb3p/0/8d33d203/XL/body color-XL.jpg,,,100%,image-web,,,,BodyColor,metallic,,
https://inaturalist-open-data.s3.amazonaws.com/photos/42025614/large.jpg,,,100%,image-web,,,,BodyColor,faint metallic,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-SR68fhk/0/bb26d8a6/L/abd color-L.jpg,,,100%,image-web,,,,BodyColor,marked by color,,
# 'SMC' character help images,,,100%,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-bNfbm5C/0/7658c60f/XL/wing cells (andrena ms1)-XL.jpg,,,100%,image-web,,Position of SMC on forewing,,SMC,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-D8cq859/0/fe05f38b/M/2 smc-M.jpg,,,100%,image-web,,Two submarginal cells,,SMC,2,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-mPDsgCm/0/cfadfa0e/M/3 smc-M.jpg,,,100%,image-web,,Three submarginal cells,,SMC,3,,
# 'Basal vein' character help images,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-VknL82w/0/904dc3ea/XL/basal vein both-XL.jpg,,,100%,image-web,,,,BasalVein,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-xPV6qxn/0/4a365a7b/M/basal vein arched-M.jpg,,,100%,image-web,,,,BasalVein,arched,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-zrbXbtq/0/5ae20ff2/M/basal vein straight-M.jpg,,,100%,image-web,,,,BasalVein,straight,,
# 'Recurrent vein' character help images,,,100%,,,,,,,,
resources/images/Recurrent not.jpg,,,100%,image-local,1,,,RecurrentVein,Not (All others),,
resources/images/Recurrent S.jpg,,,100%,image-local,2,,,RecurrentVein,S-shape,,
# 'Scopae' character help images,,,100%,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-VLpW6QL/0/c4fcbc43/M/scopae top-M.jpg,,,100%,image-web,,,,Scopae,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-ZXNQkmP/0/e6184d42/X5/coel.calapooia-X5.jpg,,,100%,image-web,,No scopae: female Coelioxys. ,,Scopae,not evident,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-dVCNC3z/0/f1d5f890/M/Eucera.4-22-21.Finley-M.jpg,,,100%,image-web,,No scopae: male Eucera. Absence of scopae is common to all males.,,Scopae,not evident,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-SzCrQHk/0/5a376b03/L/scopae tibial-L.jpg,,,100%,image-web,,,,Scopae,hind legs,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-fLv4j5R/0/56867ea2/L/scopae abd-L.jpg,,,100%,image-web,,,,Scopae,abdominal,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-5mh2s33/0/84b5f11a/L/scopae exaggerated-L.jpg,,,100%,image-web,,,,Scopae,exaggerated,,
# Tergal Hair bands,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-CnmbRpb/0/7173b4e4/M/hair bands not-M.jpg,,,100%,image-web,2,,,TergalBands,absent,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-z2kWpjp/0/d42e92d7/M/hair bands distinct-M.jpg,,,100%,image-web,1,,,TergalBands,distinct,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-9HRHXkg/0/b7b76ff0/M/hair bands hard to say-M.jpg,,,100%,image-web,3,,,TergalBands,hard to say,,
# HairBandPos,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-gmqc7jS/0/226151a2/L/hair bands top-L.jpg,,,100%,image-web,,,,HairBandPos,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-5RDVPgm/0/cd84aaf9/M/apical-M.jpg,,,100%,image-web,,,,HairBandPos,apical,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-sXJ35FD/0/76a99168/M/basal-M.jpg,,,100%,image-web,,,,HairBandPos,basal,,
# Fovea,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-dJKVFsq/0/58cd7e66/S/fovea top-S.jpg,,,100%,image-web,,,,Fovea,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-nzRbh9k/0/b4147727/L/fovea-L.jpg,,,100%,image-web,,,,Fovea,appressed,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-KgDz2dB/0/38ef36b8/S/fovea panurginus-S.jpg,,,100%,image-web,,,,Fovea,naked,,
# Arolia,,,100%,image-web,,,,Claws,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-D4wwFPP/0/35a425fb/M/arolia top-M.jpg,,,100%,image-web,,,,Claws,absent,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-5j2vZcf/0/ff99407c/S/arolia not megachile-S.jpg,,,100%,image-web,,,,Claws,absent,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-Tdgq3g7/0/8fc883c5/O/arolia osmia.jpg,,,100%,,,,,,,,
# Dufourea antennae,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-QdKB4rb/0/cba67c5f/M/antennal position-M.jpg,,,100%,image-web,,,,AntLow,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-43jKWBF/0/ee4f5f9c/M/ant normal-M.jpg,,,100%,image-web,,,,AntLow,no,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-wDDW3Vx/0/4984a0c2/M/ant low-M.jpg,,,100%,image-web,,,,AntLow,yes,,
# Parapsidal,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-W9XqZX5/0/7e1afd60/L/parapsidal top-L.jpg,,,100%,image-web,,,,Parap,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-24DWRsh/0/e2fe20d4/L/parapsidal line linear-L.jpg,,,100%,image-web,,,,Parap,linear,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-fLdPX84/0/a756c7dc/M/parapsidal line dot-M.jpg,,,100%,image-web,,,,Parap,dot,,
# WingCells,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-M4cdtrq/0/613755e5/XL/hair in closed cells-XL.jpg,,,100%,image-web,,,,WingCells,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-B6vrjxp/0/1ea9fcb5/M/hair in closed cells eucera-M.jpg,,,100%,image-web,,,,WingCells,yes,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-kWpVGSS/0/092a26be/M/hair in closed cells anthophora-M.jpg,,,100%,image-web,,,,WingCells,no,,
# Ashmeadiella,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-QdmQbjt/1/6b8ad3ef/O/ashmeadiella.jpg,,,100%,image-web,,,,Ash,yes,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-FV479Ch/0/3b42e6a8/L/ashmeadiella tergumx-L.jpg,,,100%,image-web,,,,Ash,yes,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-DLsPzdj/0/bd6cddec/L/ashmeadiella.male-L.jpg,,,100%,image-web,,,,Ash,yes,,
# Taxon images...,,,100%,,,,,,,,
resources/images/Lasioglossum sysimbrii.6-19-20.Finley.jpg,,,100%,image-local,,,Lasioglossum,,,,
#,,,100%,,,,,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/80720540/large.jpg,,,100%,image-web,,,Lasioglossum,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-Lasioglossum/i-dkv7c34/1/864e3c48/L/06242110636-L.jpg,,,100%,,,,,,,,
# Taxon HTML files…,,,100%,,,,,,,,
# Lasioglossum,,,100%,,,,,,,,
resources/text/TaxonLasio.html,,,,html-local,,"Description, abundance, diversity",Lasioglossum,,,,
#,,,,,,,,,,,
resources/text/TaxonHalictus.html,,,,html-local,,"Description, abundance, diversity",Halictus,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/80720540/large.jpg,,,100%,image-web,,,Lasioglossum,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-Lasioglossum/i-dkv7c34/1/864e3c48/L/06242110636-L.jpg,,,100%,image-web,,,Lasioglossum,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-Lasioglossum/i-bS7R2qk/0/700e975c/L/062019_2751-L.jpg,,,100%,image-web,,,Lasioglossum,,,,
# Halictus,,,100%,,,,,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/143044613/large.jpg,,,100%,image-web,,,Halictus,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/77124513/large.jpg,,,100%,image-web,,,Halictus,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/90483890/large.jpg,,,100%,image-web,,,Halictus,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/40494116/large.jpg,,,100%,image-web,,,Halictus,,,,
# Agapo,,,100%,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-HtS6MVN/0/8d87a214/L/0604205974-L.jpg,,,100%,,,,Agapostemon,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-HtS6MVN/0/8d87a214/L/0604205974-L.jpg,,,100%,,,,Agapostemon,,,,
#Dufourea,,,100%,,,,,,,,
resources/text/TaxonDufourea.html,,,100%,html-local,,"Description, abundance, diversity",Dufourea,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-fMS9prS/0/d9cbc76a/L/Exemplar Dufor-L.jpg,,,100%,image-web,,,Dufourea,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
# Sphecodes,,,,,,,,,,,
resources/text/TaxonSphecodes.html,,,100%,html-local,,"Description, abundance, diversity",Sphecodes,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-Dtx2JQr/0/28c9b090/L/Sphecodes.Kingston-L.jpg,,,100%,image-web,,,Sphecodes,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-kwcJcnZ/0/80af7e3f/O/08082111965.jpg,,,100%,image-web,,,Sphecodes,,,,
#,,,100%,,,,,,,,
# Andrena,,,100%,,,,,,,,
resources/text/TaxonAndrena.html,,,100%,html-local,,,Andrena,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-andrena/i-2CZ5HPh/0/9d5f2bbb/M/Andrena.MS21-I.IAE108143-M.jpg,,,100%,image-web,,,Andrena,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-andrena/i-522X6H2/0/527bdc05/M/Andrena prunorum.IAE 108774-M.jpg,,,100%,image-web,,,Andrena,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-andrena/i-nfhMnBF/0/4ff4b349/M/AndrenaMS21-G.IAE110485-M.jpg,,,100%,image-web,,,Andrena,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/76627637/large.jpg,,,100%,image-web,,,Andrena,,,,
#,,,100%,image-web,,,,,,,
# Panurginus,,,100%,image-web,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-GvcMQbw/0/2f0cdf11/M/panurginus.ankeny-M.jpg,,,100%,image-web,,,Panurginus,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-bt4LdQw/0/15679959/M/panurginus marginal-M.jpg,,,100%,image-web,,The truncate marginal vein distinguishes from Andrena,Panurginus,,,,
resources/text/TaxonPanurginus.html,,,100%,image-web,,"Description, abundance, diversity",Panurginus,,,,
# Eucera,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-BrN43Gg/0/bcb81c2d/L/melissodes.ankeny-L.jpg,,,100%,image-web,,,Eucera&Melissodes,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-Sj4H4tN/0/7041c1d8/M/melissodes.6-9-2021.jefferson-M.jpg,,,100%,image-web,,,Eucera&Melissodes,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-dVCNC3z/0/f1d5f890/M/Eucera.4-22-21.Finley-M.jpg,,,100%,image-web,,,Eucera&Melissodes,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-RQXpCkF/0/a60acf5b/O/062019_2804.jpg,,,100%,image-web,,,Eucera&Melissodes,,,,
resources/text/TaxonEucera&Melissodes.html,,,100%,html-local,,,Eucera&Melissodes,,,,
# Ceratina,,,,,,,,,,,
resources/text/TaxonCeratina.html,,,100%,html-local,,,Ceratina,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/159643341/large.jpg,,,100%,image-web,,,Ceratina,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/91828037/original.jpg,,,100%,image-web,,,Ceratina,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/159643276/large.jpg,,,100%,image-web,,,Ceratina,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/42025496/large.jpg,,,100%,image-web,,,Ceratina,,,,
#,,,,,,,,,,,
# Bombus,,,,,,,,,,,
resources/text/TaxonBombus.html,,,100%,html-local,,,Bombus,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-PkWfJCP/0/3c6089e9/M/050319_715-M.jpg,,,100%,image-web,,,Bombus,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-XQtF4cH/0/ac7d2161/L/0528205690-L.jpg,,,100%,image-web,,,Bombus,,,,
# Megachile,,,,,,,,,,,
resources/text/TaxonMegachile.html,,,100%,html-local,,,Megachile,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-B6dPPq2/0/8910c888/L/Megachile.brevis.lateral.IAE103511-L.jpg,,,100%,image-web,,,Megachile,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-Megachile/i-Fkb2hWg/0/e82bc8e0/L/Megachile.perihirta.lateral.SW_20180705.05-L.jpg,,,100%,image-web,,,Megachile,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-Megachile/i-Jzxr2Pv/0/6f52319b/M/0806191208-M.jpg,,,100%,image-web,,,Megachile,,,,
# Osmia,,,,,,,,,,,
resources/text/TaxonOsmia.html,,,100%,html-local,,,Osmia,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-6sWWpLk/0/dbafac9d/L/Osmia(2) .5-14-21.Finley-L.jpg,,,100%,image-web,,,Osmia,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/128631877/large.jpg,,,100%,image-web,,,Osmia,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/129006589/large.jpg,,,100%,image-web,,,Osmia,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-ZT5JqJS/0/52453f4a/L/0523205530-L.jpg,,,100%,image-web,,,Osmia,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDkey-andrena/i-2CZ5HPh/0/9d5f2bbb/M/Andrena.MS21-I.IAE108143-M.jpg,,,,,,,,,,,
resources/text/TaxonAnthidium.html,,,100%,html-local,,,Anthidium,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-hMD4Tsn/0/c86f1d09/L/ANTH.CALAPOOIA2-L.jpg,,,100%,image-web,,,Anthidium,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-vmgbPkt/0/150373e7/M/08082112080-M.jpg,,,100%,image-web,,,Anthidium,,,,
# Dianthidium,,,,,,,,,,,
resources/text/TaxonDianthidium.html,,,100%,html-local,,,Dianthidium,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-BtkJN87/0/ec9c24f5/L/Dianthidium.parvum.johnson-L.jpg,,,100%,image-web,,,Dianthidium,,,,
# Hoplitis,,,,,,,,,,,
resources/text/TaxonHoplitis.html,,,100%,html-local,,,Hoplitis,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-6n8JW6B/0/d3259ee5/L/hoplitis.kp-L.jpg,,,100%,image-web,,,Hoplitis,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-NkHgkgs/0/22f2d678/M/Hopl.jefferson-M.jpg,,,100%,image-web,,,Hoplitis,,,,
# Stelis,,,,,,,,,,,
resources/text/TaxonStelis.html,,,100%,html-local,,,Stelis,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-qTXxpSt/0/16e9abce/L/Stelis.ankeny-L.jpg,,,100%,image-web,,,Stelis,,,,
#,,,,,,,,,,,
# Coelioxys,,,,,,,,,,,
resources/text/TaxonCoelioxys.html,,,100%,html-local,,,Coelioxys,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-ZXNQkmP/0/e6184d42/L/coel.calapooia-L.jpg,,,100%,image-web,,,Coelioxys,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-Hq6F7Jf/0/8402ffe8/M/061319_2355-M.jpg,,,100%,image-web,,,Coelioxys,,,,
# Nomada,,,,,,,,,,,
resources/text/TaxonNomada.html,,,100%,html-local,,,Nomada,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-3hxpbtb/0/f7aadcd4/L/Nomada.Ankeny-L.jpg,,,100%,image-web,,,Nomada,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-sfTmQmz/0/f5fe8137/L/053019_2022-L.jpg,,,100%,image-web,,,Nomada,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-BwVKNqc/0/85859fd3/L/053019_2064-L.jpg,,,100%,image-web,,,Nomada,,,,
#,,,,,,,,,,,
# Hylaeus,,,,,,,,,,,
resources/text/TaxonHylaeus.html,,,100%,html-local,,,Hylaeus,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-V4x824F/0/bdc44b17/L/HylaeusMS1.ankeny-L.jpg,,,100%,image-web,,,Hylaeus,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-GNCMRLs/0/9f265d8e/L/061619_2626-L.jpg,,,100%,image-web,,,Hylaeus,,,,
# Colletes,,,,,,,,,,,
resources/text/TaxonColletes.html,,,100%,html-local,,,Colletes,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/158772260/large.jpg,,,100%,image-web,,,Colletes,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-mpMWrV6/0/bf1ff41a/L/0314204020-L.jpg,,,100%,image-web,,,Colletes,,,,
# Anthophora,,,,,,,,,,,
resources/text/TaxonAnthophora.html,,,100%,html-local,,,Anthophora,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-xrMZ2QZ/0/37203532/M/Exemplar Anthophora sp-M.jpg,,,100%,image-web,,,Anthophora,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-KxgWztR/0/7dc200de/M/cappaert.apr2017-9-M.jpg,,,100%,image-web,,,Anthophora,,,,
#,,,,,,,,,,,
# Ashmeadiella,,,,,,,,,,,
resources/text/TaxonAshmeadiella.html,,,100%,html-local,,,Ashmeadiella,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-FpqQxTn/0/8d5b917e/M/Ashmadiella.fisher-M.jpg,,,100%,image-web,,,Ashmeadiella,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-Dhn4VsN/0/372e7b95/L/Ashmadiella2.fisher-L.jpg,,,100%,image-web,,,Ashmeadiella,,,,